seed,convention,variable,push_in,in_floor95,out_sys,out_floor95,net_in,net_out,intake_at_floor,ratio_ok,drive_above,rankable,signature
0,pairwise,Solar1_goal,0.06071840693646022,0.05092205489341443,0.07927443561094363,0.06514854023736148,0.00979635204304579,0.01412589537358215,False,False,True,True,False
0,pairwise,Steel1_goal,0.026907512947291847,0.024998741198703028,0.048216983663919515,0.04400240731748807,0.0019087717485888195,0.004214576346431444,False,False,True,True,False
0,fused_bestkey,Solar1_goal,0.05933169309290192,0.056679218746717996,0.42009433998159973,0.4096179151919386,0.0026524743461839237,0.010476424789661154,False,False,True,True,False
0,fused_bestkey,Steel1_goal,0.050183802324249224,0.04891761226606152,0.29660242651005353,0.28746080548455855,0.001266190058187705,0.009141621025494984,False,False,True,True,False
1,pairwise,Solar1_goal,0.07038194860651303,0.05122536060475392,0.09378745363291739,0.06590014026509132,0.019156588001759116,0.027887313367826072,False,False,True,True,False
1,pairwise,Steel1_goal,0.025834112191617582,0.02479717453398148,0.04695432894782152,0.04442663533063185,0.0010369376576361035,0.002527693617189672,False,False,True,True,False
1,fused_bestkey,Solar1_goal,0.06669784122796786,0.062240287098047284,0.3956159436667447,0.37999341282050864,0.004457554129920577,0.015622530846236049,False,False,True,True,False
1,fused_bestkey,Steel1_goal,0.05301530481849612,0.05179706317958312,0.27838526846297906,0.26936829858049277,0.0012182416389130007,0.009016969882486292,False,False,True,True,False
2,pairwise,Solar1_goal,0.0633213510616015,0.05063131118840621,0.08768230779746919,0.0639534636566589,0.012690039873195287,0.023728844140810293,False,False,True,True,False
2,pairwise,Steel1_goal,0.020789186329471476,0.01901900137456911,0.03801059325597331,0.038058421115662676,0.0017701849549023665,0.0,False,False,False,True,False
2,fused_bestkey,Solar1_goal,0.062221669524950285,0.058582048279312994,0.4092177512512825,0.3967575196925161,0.003639621245637291,0.01246023155876641,False,False,True,True,False
2,fused_bestkey,Steel1_goal,0.04517347841360896,0.044189764277592976,0.25230978504470825,0.24483701212156248,0.0009837141360159868,0.007472772923145771,False,False,True,True,False
3,pairwise,Solar1_goal,0.06293939586185976,0.05193479545685294,0.07884222228684196,0.06335662963449314,0.011004600405006816,0.01548559265234882,False,False,True,True,False
3,pairwise,Steel1_goal,0.02577708759754092,0.02411274487021058,0.04750340961072065,0.042575990670798224,0.001664342727330341,0.0049274189399224275,False,False,True,True,False
3,fused_bestkey,Solar1_goal,0.059945541499359815,0.057216776281890896,0.4128289714056165,0.4040225140701973,0.002728765217468919,0.008806457335419182,False,False,True,True,False
3,fused_bestkey,Steel1_goal,0.0511626907924329,0.04989831351775477,0.29444407901552583,0.2859635251984263,0.0012643772746781315,0.008480553817099501,False,False,True,True,False
4,pairwise,Solar1_goal,0.06511187178212681,0.04671796781773327,0.08542603235666536,0.06160673151738251,0.01839390396439354,0.023819300839282853,False,False,True,True,False
4,pairwise,Steel1_goal,0.0178764799511595,0.017163969393717983,0.03553604038827081,0.03618254263414301,0.0007125105574415161,0.0,False,False,False,True,False
4,fused_bestkey,Solar1_goal,0.063338470929745,0.05868825254802549,0.3908815342564286,0.3764461247444364,0.004650218381719508,0.014435409511992181,False,False,True,True,False
4,fused_bestkey,Steel1_goal,0.04444516476317335,0.0434334292356341,0.2401431558015982,0.23365622105852238,0.001011735527539255,0.006486934743075823,False,False,True,True,False
5,pairwise,Solar1_goal,0.06859263229217981,0.05044737358410871,0.09612099562642842,0.06660737108995146,0.0181452587080711,0.029513624536476962,False,False,True,True,False
5,pairwise,Steel1_goal,0.026329495953909484,0.02474169413398435,0.04598283678501737,0.04497388077850868,0.0015878018199251345,0.0010089560065086878,False,False,True,True,False
5,fused_bestkey,Solar1_goal,0.06505671688648876,0.06060841204284643,0.4189780494210288,0.40327299236463787,0.00444830484364233,0.015705057056390914,False,False,True,True,False
5,fused_bestkey,Steel1_goal,0.05227622729713391,0.051017051478107305,0.29399184888250285,0.2850519208759891,0.0012591758190266047,0.008939928006513775,False,False,True,True,False
6,pairwise,Solar1_goal,0.06904234260702324,0.05202056817839294,0.0951782871437899,0.06623889301379768,0.0170217744286303,0.02893939412999222,False,False,True,True,False
6,pairwise,Steel1_goal,0.02540351289799194,0.02502444990412711,0.04545122573706037,0.0450737387027696,0.00037906299386483017,0.0003774870342907674,False,False,True,True,False
6,fused_bestkey,Solar1_goal,0.06631277971728237,0.060513562782064274,0.4089829118606024,0.39213037809058887,0.0057992169352181,0.016852533770013556,False,False,True,True,False
6,fused_bestkey,Steel1_goal,0.05009409487908473,0.04877235140253179,0.28403090688141164,0.27941093957769364,0.0013217434765529362,0.004619967303717998,False,False,True,True,False
7,pairwise,Solar1_goal,0.0597914487489348,0.047592663535164725,0.07751508052893259,0.06107953822077874,0.012198785213770075,0.016435542308153854,False,False,True,True,False
7,pairwise,Steel1_goal,0.024036877256300267,0.022738660027454477,0.04326833130760623,0.041115297545568606,0.0012982172288457904,0.002153033762037626,False,False,True,True,False
7,fused_bestkey,Solar1_goal,0.060209715902247926,0.05679518234279103,0.4019033541828952,0.3910651936293845,0.003414533559456895,0.010838160553510667,False,False,True,True,False
7,fused_bestkey,Steel1_goal,0.04909480684779853,0.04774857641842824,0.28578763750880326,0.2761104320289128,0.0013462304293702931,0.009677205479890483,False,False,True,True,False
8,pairwise,Solar1_goal,0.0666526134482988,0.049264894197817745,0.08549853156238948,0.06287811384526035,0.017387719250481055,0.022620417717129138,False,False,True,True,False
8,pairwise,Steel1_goal,0.019699362892949754,0.018360475907531384,0.039607297560824616,0.03648421648822724,0.0013388869854183694,0.0031230810725973723,False,False,True,True,False
8,fused_bestkey,Solar1_goal,0.06246687830287266,0.057795436645132175,0.4005300275156372,0.3884704759270278,0.0046714416577404855,0.012059551588609385,False,False,True,True,False
8,fused_bestkey,Steel1_goal,0.04356597378543637,0.04256326242552648,0.246249505773597,0.23999393998864882,0.00100271135990989,0.0062555657849481805,False,False,True,True,False
9,pairwise,Solar1_goal,0.06606135029477017,0.050143660961118774,0.08916940345898355,0.06533010723250883,0.015917689333651397,0.023839296226474724,False,False,True,True,False
9,pairwise,Steel1_goal,0.026980748079577756,0.02479643742094604,0.045763576544092126,0.0443513443997051,0.002184310658631717,0.0014122321443870225,False,False,True,True,False
9,fused_bestkey,Solar1_goal,0.06322706598893996,0.058433279845795966,0.4204016163591843,0.40685413223875394,0.004793786143143991,0.013547484120430386,False,False,True,True,False
9,fused_bestkey,Steel1_goal,0.049664588742282766,0.048363137434620077,0.29449293333651566,0.2871283093467683,0.001301451307662689,0.007364623989747354,False,False,True,True,False
10,pairwise,Solar1_goal,0.060860216580989925,0.045863202462496235,0.08312660802564188,0.06060875313564665,0.01499701411849369,0.022517854889995234,False,False,True,True,False
10,pairwise,Steel1_goal,0.01347659295564183,0.012702633390567203,0.031052050777924542,0.029298182222522718,0.0007739595650746271,0.001753868555401824,False,False,True,True,False
10,fused_bestkey,Solar1_goal,0.05986057597400938,0.056823692604387264,0.3858230425942094,0.3763073276157035,0.003036883369622115,0.009515714978505896,False,False,True,True,False
10,fused_bestkey,Steel1_goal,0.03749628785385832,0.03683658380185117,0.20084212683620106,0.19557653341215395,0.0006597040520071526,0.005265593424047116,False,False,True,True,False
11,pairwise,Solar1_goal,0.06591667233987514,0.05366342156693201,0.0856741724808252,0.06539001745071424,0.012253250772943126,0.020284155030110967,False,False,True,True,False
11,pairwise,Steel1_goal,0.02104382902303697,0.019443545299984485,0.04252944384340085,0.03815818570791655,0.001600283723052487,0.0043712581354843,False,False,True,True,False
11,fused_bestkey,Solar1_goal,0.06187606286898449,0.058677563754377646,0.4103179195655654,0.3993796623189986,0.0031984991146068453,0.01093825724656683,False,False,True,True,False
11,fused_bestkey,Steel1_goal,0.04611645816086684,0.045151411856930924,0.2566102217487156,0.24712346851040765,0.0009650463039359153,0.009486753238307971,False,True,True,True,True
12,pairwise,Solar1_goal,0.06884882198139375,0.05095222083367145,0.09119515625300609,0.06330528680622823,0.017896601147722298,0.027889869446777862,False,False,True,True,False
12,pairwise,Steel1_goal,0.014927165173472458,0.013798879383189664,0.034252723360973555,0.030784542396529835,0.0011282857902827938,0.0034681809644437206,False,False,True,True,False
12,fused_bestkey,Solar1_goal,0.06267963782173991,0.058372794601074404,0.404784013602254,0.3904122240992194,0.004306843220665504,0.014371789503034638,False,False,True,True,False
12,fused_bestkey,Steel1_goal,0.03786395830095149,0.03717707515981476,0.2110142070168854,0.20360534928842514,0.0006868831411367265,0.007408857728460255,False,True,True,True,True
13,pairwise,Solar1_goal,0.06691010728770858,0.050976599981853124,0.09284663651792792,0.06411576473028674,0.01593350730585545,0.02873087178764118,False,False,True,True,False
13,pairwise,Steel1_goal,0.021174919416515666,0.0199689911612662,0.03986576531044178,0.03776754377361072,0.0012059282552494659,0.002098221536831063,False,False,True,True,False
13,fused_bestkey,Solar1_goal,0.06367391902458246,0.05940643386305615,0.4201555967872635,0.40590539523895985,0.004267485161526308,0.014250201548303643,False,False,True,True,False
13,fused_bestkey,Steel1_goal,0.04516033353411605,0.04418902415758362,0.2576541057700733,0.2497100383718001,0.0009713093765324268,0.007944067398273191,False,False,True,True,False
14,pairwise,Solar1_goal,0.062271069951962195,0.047346713963919866,0.08597509038354091,0.061271673427897744,0.014924355988042329,0.024703416955643168,False,False,True,True,False
14,pairwise,Steel1_goal,0.019890810464994135,0.018175904317832597,0.040952932404004064,0.03594260434838363,0.0017149061471615386,0.005010328055620433,False,False,True,True,False
14,fused_bestkey,Solar1_goal,0.06123143141036135,0.05736438773261188,0.3963587967573639,0.38763147400194686,0.003867043677749475,0.008727322755417044,False,False,True,True,False
14,fused_bestkey,Steel1_goal,0.04345115931424362,0.042409430213756864,0.24509736068622898,0.23852560214865953,0.001041729100486756,0.006571758537569444,False,False,True,True,False
15,pairwise,Solar1_goal,0.06112056794165349,0.04545915743637783,0.08295009422133554,0.0622530016021632,0.015661410505275662,0.02069709261917234,False,False,True,True,False
