variable,push_in,out_sys,out_env,raw_sys,raw_env,polarity_sys,polarity_env,total_flow
G,0.00232598354107376,1.0804476267472016,0.4411162684179499,1.0781216432061278,0.4387902848768761,0.9957036567589516,0.9895094185058003,1.0827736102882755
A,0.26821514641237953,0.9254769871224059,0.39657724886743345,0.6572618407100264,0.12836210245505392,0.5506125258308683,0.19308599702171075,1.1936921335347854
S,0.28545070090839036,0.6443967531199863,0.0002978207699861657,0.358946052211596,-0.2851528801384042,0.38602681617993845,-0.997915504386606,0.9298474540283768
B,0.4897580831578867,0.9932393478299886,0.44223692809024184,0.5034812646721019,-0.04752115506764487,0.33950245236548776,-0.050988636735302365,1.4829974309878753
E,0.49895012451289195,0.8258711515750189,,0.32692102706212695,,0.24676613590287294,,1.3248212760879108
D,0.35833789002644745,0.5464447549175474,0.00011589008474865276,0.18810686489109996,-0.3582219999416988,0.2079028216801656,-0.9993533889657255,0.9047826449439949
W,0.003030480002458042,0.0006165637683740115,0.00011196361484078378,-0.0024139162340840303,-0.002918516387617258,-0.6618829895571305,-0.9287410509296423,0.0036470437708320536
