variable,push_in,out_sys,out_env,raw_sys,raw_env,polarity_sys,polarity_env,total_flow
G,3.629050853751635e-05,0.18771877834776832,1.849546930128088e-06,0.1876824878392308,-3.444096160738826e-05,0.9996134271233413,-0.9030128872414921,0.18775506885630583
W,2.6294922600532958e-05,0.0005901114647002645,2.1200679720078644e-07,0.0005638165420997316,-2.608291580333217e-05,0.9146831598690058,-0.9840036698314131,0.0006164063873007975
S,0.279003721570469,0.06999784802094702,6.752851407250128e-07,-0.20900587354952196,-0.27900304628532824,-0.5988680045027013,-0.9999951593225888,0.34900156959141604
B,0.4913405289721871,0.10124775784288793,1.058832920053493e-05,-0.3900927711292992,-0.4913299406429866,-0.658286334388909,-0.9999569011697432,0.592588286815075
A,0.2695040471488337,0.054435883915777555,0.39922819359303224,-0.21506816323305614,0.12972414644419855,-0.6639137155035074,0.1939851835172289,0.3239399310646113
E,0.49985613960038433,0.08750526881187723,,-0.4123508707885071,,-0.7020394341248296,,0.5873614084122616
D,0.35770910718991256,0.0006763986410322745,6.145573371737855e-07,-0.3570327085488803,-0.35770849263257537,-0.9962253013583015,-0.9999965639327095,0.3583855058309448
