variable,push_in,out_sys,out_env,raw_sys,raw_env,polarity_sys,polarity_env,total_flow
G,9.816181250738497e-05,0.09504790577505247,1.849546930128088e-06,0.09494974396254509,-9.631226557725688e-05,0.9979366081017054,-0.9630132628827291,0.09514606758755985
W,0.00012494066711668815,0.0015517645619579565,2.1200679720078644e-07,0.0014268238948412684,-0.00012472866031948735,0.8509688346524195,-0.9966120292827835,0.0016767052290746446
S_alias,0.4218796913018998,0.07104339520214524,5.236272642848065e-07,-0.35083629609975453,-0.4218791676746355,-0.7117465294392851,-0.9999975176495804,0.49292308650404504
A_alias,0.41362527126034027,0.06268057462612027,0.5588592768604835,-0.35094469663422,0.14523400560014327,-0.7368053524118965,0.14934325268281698,0.4763058458864605
E,0.5588877023355221,0.06261100903461705,,-0.49627669330090507,,-0.7985160455229697,,0.6214987113701391
A,0.30541651814521337,0.0036672842079829115,0.39922819359303224,-0.30174923393723047,0.09381167544781888,-0.9762699683382812,0.13313329949841035,0.30908380235319627
S,0.3109161802624327,0.0036408944594965307,6.752851407250128e-07,-0.3072752858029361,-0.3109155049772919,-0.9768506592152465,-0.9999956561689809,0.31455707472192923
D,0.3987650442538439,0.003683942976897801,6.145573371737855e-07,-0.3950811012769461,-0.3987644296965067,-0.9816923729775192,-0.999996917701795,0.4024489872307417
B,0.5590339034579037,0.004256483300652202,1.058832920053493e-05,-0.5547774201572515,-0.5590233151287032,-0.9848870728110733,-0.9999621199051021,0.5632903867585559
