variable,push_in,out_sys,out_env,raw_sys,raw_env,polarity_sys,polarity_env,total_flow
A,0.0033990866412410953,0.761169114489124,0.3965096108646701,0.7577700278478829,0.393110524223429,0.9911084802213438,0.9830006865945151,0.7645682011303652
G,0.00020324619701248247,0.0012683494760526769,0.00016722080212831737,0.0010651032790401943,-3.60253948841651e-05,0.7237744025311724,-0.09724319566308598,0.0014715956730651594
S,0.14358297338174714,0.39537351115791153,0.00019426919163312338,0.2517905377761644,-0.143388704190114,0.46718157216575174,-0.9972976364248469,0.5389564845396586
D,0.2233683556390895,0.3122494699313627,6.516837516463606e-05,0.08888111429227322,-0.22330318726392487,0.16594129255801304,-0.9994166643036032,0.5356178255704522
E,0.3982298622844631,0.42487863045096114,,0.026648768166498027,,0.03237576625887624,,0.8231084927354242
W,0.00022484267099708434,0.00014397544379420932,5.622765533472925e-06,-8.086722720287501e-05,-0.00021921990546361141,-0.2192604537568228,-0.9512051297746124,0.0003688181147912937
B,1.1291734513758784,0.0030987672412225564,0.0012879702853334533,-1.1260746841346558,-1.127885481090545,-0.9945264624702931,-0.9977213370387451,1.132272218617101
